Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling,Carrier,Promised_Delivery_Days,Actual_Delivery_Days,Delivery_Status,Quality_Issue,Customer_Rating,Delivery_Cost_INR,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_INR,Traffic_Delay_Minutes,Weather_Impact,Fuel_Cost,Labor_Cost,Vehicle_Maintenance,Insurance,Packaging_Cost,Technology_Platform_Fee,Other_Overhead,Is_Delayed,Delay_Severity,Delay_Days,Delay_Percentage,Cost_to_Value_Ratio,Has_Weather_Impact,Has_Special_Handling,Has_Quality_Issue,Is_Express,Is_Economy,Is_High_Value_Order,Order_Day_of_Week,Order_Month,Order_Day,Is_Weekend_Order,Is_Month_End,Carrier_Historical_Delay_Rate,Carrier_Avg_Rating,Route_Historical_Delay_Rate,Category_Historical_Delay_Rate
ORD000011,2025-09-11,Enterprise,Standard,Books,41.07,Delhi,Bangkok,,EcoDeliver,3.0,4.0,Slightly-Delayed,Perfect,3.0,319.8,Delhi_to_Bangkok,4720.83,562.82,0.0,0.0,,96.98,95.16,38.5,18.57,26.49,38.01,24.98,1.0,1.0,1.0,33.33333333333333,7.601616353696221,0,0,0,0,0,0,3,9,11,0,0,0.375,4.0,0.3333333333333333,0.2608695652173913
ORD000012,2025-09-24,Enterprise,Standard,Electronics,73.42,Mumbai,Hong Kong,,ReliableExpress,3.0,3.0,On-Time,Perfect,5.0,583.33,Mumbai_to_Hong Kong,3797.36,454.22,0.0,0.0,,216.69,149.83,70.51,32.56,47.04,68.56,48.47,0.0,0.0,0.0,0.0,7.838349905939264,0,0,0,0,0,0,2,9,24,0,0,0.525,3.575,0.0,0.5909090909090909
ORD000013,2025-10-06,SMB,Standard,Food & Beverage,566.23,Hyderabad,Bangalore,,QuickShip,3.0,3.0,On-Time,Perfect,4.0,587.57,Hyderabad_to_Bangalore,164.57,22.21,131.65,102.0,,180.78,167.73,74.93,41.22,53.87,66.15,47.35,0.0,0.0,0.0,0.0,1.035858470109127,0,0,0,0,0,0,0,10,6,0,0,0.25806451612903225,4.096774193548387,0.0,0.36363636363636365
ORD000014,2025-10-10,SMB,Express,Industrial,1421.72,Delhi,Bangalore,,SpeedyLogistics,2.0,2.0,On-Time,Perfect,5.0,313.96,Delhi_to_Bangalore,1450.16,171.78,1160.13,45.0,,105.91,86.51,33.06,21.27,22.18,33.6,26.03,0.0,0.0,0.0,0.0,0.2206758884390463,0,0,0,1,0,1,4,10,10,0,0,0.5121951219512195,3.5121951219512195,0.6666666666666666,0.5652173913043478
ORD000015,2025-09-24,Enterprise,Standard,Industrial,396.69,Kolkata,Delhi,Hazmat,EcoDeliver,3.0,3.0,On-Time,Perfect,5.0,435.14,Kolkata_to_Delhi,1748.33,214.29,1398.67,25.0,Fog,133.59,125.98,47.47,25.17,39.76,35.54,30.88,0.0,0.0,0.0,0.0,1.0941688249641681,1,1,0,0,0,0,2,9,24,0,0,0.375,4.0,0.3333333333333333,0.5652173913043478
ORD000016,2025-09-03,Enterprise,Standard,Healthcare,34.57,Delhi,Mumbai,Fragile,ReliableExpress,3.0,3.0,On-Time,Perfect,5.0,425.42,Delhi_to_Mumbai,921.79,114.25,737.43,54.0,,134.78,143.76,54.39,26.19,31.96,46.48,41.65,0.0,0.0,0.0,0.0,11.960078718020805,0,1,0,0,0,0,2,9,3,0,0,0.525,3.575,0.4,0.5333333333333333
ORD000017,2025-09-22,Individual,Standard,Books,849.69,Hyderabad,Singapore,,GlobalTransit,5.0,5.0,On-Time,Perfect,4.0,437.4,Hyderabad_to_Singapore,2857.35,339.91,0.0,0.0,Light_Rain,140.86,148.11,64.17,41.91,35.77,46.01,30.69,0.0,0.0,0.0,0.0,0.5141708495456628,1,0,0,0,0,0,0,9,22,0,0,0.6363636363636364,3.090909090909091,0.5,0.2608695652173913
ORD000018,2025-09-02,Enterprise,Economy,Electronics,301.46,Mumbai,Chennai,Fragile,EcoDeliver,7.0,8.0,Slightly-Delayed,Perfect,3.0,658.72,Mumbai_to_Chennai,757.12,90.97,605.7,114.0,,247.18,199.68,88.18,47.05,57.03,74.42,37.76,1.0,1.0,1.0,14.285714285714285,2.1778747602988826,0,1,0,0,1,0,1,9,2,0,0,0.375,4.0,1.0,0.5909090909090909
ORD000019,2025-09-24,Enterprise,Standard,Electronics,296.08,Ahmedabad,Bangalore,Hazmat,GlobalTransit,5.0,6.0,Slightly-Delayed,Wrong_Item,1.0,417.76,Ahmedabad_to_Bangalore,1571.48,193.39,1257.18,81.0,,160.12,127.01,59.42,29.9,28.81,48.71,26.13,1.0,1.0,1.0,20.0,1.4062205466541,0,1,1,0,0,0,2,9,24,0,0,0.6363636363636364,3.090909090909091,1.0,0.5909090909090909
ORD000020,2025-10-14,SMB,Express,Fashion,13.24,Kolkata,Pune,Temperature_Controlled,QuickShip,2.0,2.0,On-Time,Perfect,5.0,311.13,Kolkata_to_Pune,1123.6,135.75,898.88,6.0,Fog,119.6,92.84,39.11,20.36,24.47,28.94,16.17,0.0,0.0,0.0,0.0,21.849016853932582,1,1,0,1,0,0,1,10,14,0,0,0.25806451612903225,4.096774193548387,0.5,0.4444444444444444
ORD000021,2025-09-30,Individual,Express,Healthcare,1334.39,Mumbai,Singapore,Fragile,QuickShip,2.0,2.0,On-Time,Perfect,5.0,526.67,Mumbai_to_Singapore,2601.42,308.26,0.0,0.0,Heavy_Rain,172.33,132.0,78.43,51.77,36.74,57.48,35.44,0.0,0.0,0.0,0.0,0.3943941470282089,1,1,0,1,0,0,1,9,30,0,1,0.25806451612903225,4.096774193548387,0.6,0.5333333333333333
ORD000022,2025-10-08,Enterprise,Standard,Home Goods,501.6,Bangalore,Dubai,Fragile,SpeedyLogistics,3.0,3.0,On-Time,Perfect,5.0,363.82,Bangalore_to_Dubai,3317.45,401.56,0.0,0.0,Heavy_Rain,133.56,120.26,53.6,25.47,32.44,32.98,36.21,0.0,0.0,0.0,0.0,0.7238758456028651,1,1,0,0,0,0,2,10,8,0,0,0.5121951219512195,3.5121951219512195,0.5,0.5555555555555556
ORD000023,2025-09-02,SMB,Express,Home Goods,5959.53,Ahmedabad,Dubai,,EcoDeliver,1.0,3.0,Slightly-Delayed,Perfect,4.0,577.28,Ahmedabad_to_Dubai,2187.37,266.32,0.0,0.0,,174.67,179.16,76.76,48.72,32.34,67.85,34.09,1.0,1.0,2.0,200.0,0.09685044786285783,0,0,0,1,0,1,1,9,2,0,0,0.375,4.0,0.5,0.5555555555555556
ORD000024,2025-09-21,Individual,Standard,Fashion,360.77,Bangalore,Kolkata,,ReliableExpress,5.0,6.0,Slightly-Delayed,Perfect,3.0,612.64,Bangalore_to_Kolkata,967.74,117.39,774.19,30.0,Light_Rain,221.94,166.8,70.67,47.37,43.41,52.94,35.87,1.0,1.0,1.0,20.0,1.6934516405450977,1,0,0,0,0,0,6,9,21,1,0,0.525,3.575,0.5,0.4444444444444444
ORD000025,2025-10-03,Enterprise,Economy,Fashion,943.42,Mumbai,Hyderabad,,QuickShip,10.0,10.0,On-Time,Perfect,5.0,951.95,Mumbai_to_Hyderabad,1396.41,171.86,1117.13,85.0,Light_Rain,325.39,310.08,137.94,51.6,66.31,79.97,48.39,0.0,0.0,0.0,0.0,1.0079731475402893,1,0,0,0,1,0,4,10,3,0,0,0.25806451612903225,4.096774193548387,0.5,0.4444444444444444
ORD000026,2025-09-12,Individual,Standard,Fashion,1404.91,Bangalore,Delhi,,SpeedyLogistics,5.0,6.0,Slightly-Delayed,Perfect,3.0,629.91,Bangalore_to_Delhi,1277.31,149.62,1021.84,20.0,,230.66,195.43,68.13,38.86,32.24,71.43,62.19,1.0,1.0,1.0,20.0,0.44804432716176706,0,0,0,0,0,1,4,9,12,0,0,0.5121951219512195,3.5121951219512195,0.3333333333333333,0.4444444444444444
ORD000027,2025-09-22,SMB,Standard,Books,29.39,Bangalore,Bangkok,,SpeedyLogistics,5.0,5.0,On-Time,Perfect,5.0,361.87,Bangalore_to_Bangkok,4413.31,527.38,0.0,0.0,,113.46,98.84,51.9,34.86,25.69,29.68,18.81,0.0,0.0,0.0,0.0,11.907535373478117,0,0,0,0,0,0,0,9,22,0,0,0.5121951219512195,3.5121951219512195,0.5714285714285714,0.2608695652173913
ORD000028,2025-10-14,SMB,Standard,Books,20435.93,Kolkata,Dubai,,GlobalTransit,5.0,5.0,On-Time,Perfect,5.0,620.17,Kolkata_to_Dubai,4872.34,579.77,0.0,0.0,Fog,221.65,179.41,62.91,49.09,31.36,69.15,40.51,0.0,0.0,0.0,0.0,0.030345555814890002,1,0,0,0,0,1,1,10,14,0,0,0.6363636363636364,3.090909090909091,0.0,0.2608695652173913
ORD000029,2025-09-25,SMB,Standard,Food & Beverage,211.41,Chennai,Singapore,,ReliableExpress,3.0,3.0,On-Time,Perfect,5.0,267.94,Chennai_to_Singapore,4030.46,486.94,0.0,0.0,,81.46,82.75,32.12,26.44,20.69,24.39,22.9,0.0,0.0,0.0,0.0,1.2614283696624453,0,0,0,0,0,0,3,9,25,0,1,0.525,3.575,0.5,0.36363636363636365
ORD000030,2025-10-19,SMB,Standard,Food & Beverage,847.13,Delhi,Chennai,Fragile,GlobalTransit,5.0,5.0,On-Time,Perfect,5.0,530.24,Delhi_to_Chennai,124.34,17.3,99.47,24.0,,173.47,180.51,62.96,41.09,27.85,51.46,48.58,0.0,0.0,0.0,0.0,0.6251871764941695,0,1,0,0,0,0,6,10,19,1,0,0.6363636363636364,3.090909090909091,0.5,0.36363636363636365
ORD000031,2025-09-27,Enterprise,Economy,Fashion,1054.55,Mumbai,Bangkok,Temperature_Controlled,QuickShip,7.0,8.0,Slightly-Delayed,Perfect,3.0,871.77,Mumbai_to_Bangkok,2207.09,259.91,0.0,0.0,Heavy_Rain,331.77,237.5,97.03,79.21,84.14,73.07,63.21,1.0,1.0,1.0,14.285714285714285,0.8258917152195538,1,1,0,0,1,0,5,9,27,1,1,0.25806451612903225,4.096774193548387,0.6,0.4444444444444444
ORD000032,2025-10-12,Individual,Standard,Healthcare,118.85,Chennai,Dubai,,ReliableExpress,3.0,5.0,Slightly-Delayed,Perfect,3.0,416.08,Chennai_to_Dubai,4465.78,538.99,0.0,0.0,Heavy_Rain,138.86,140.25,43.35,25.2,36.46,34.14,31.05,1.0,1.0,2.0,66.66666666666666,3.4716729244889444,1,0,0,0,0,0,6,10,12,1,0,0.525,3.575,0.5,0.5333333333333333
ORD000033,2025-09-28,SMB,Economy,Electronics,6441.2,Delhi,Chennai,,SpeedyLogistics,5.0,5.0,On-Time,Perfect,5.0,505.95,Delhi_to_Chennai,1290.06,150.85,1032.05,22.0,,174.15,143.41,60.58,38.7,29.38,52.05,45.67,0.0,0.0,0.0,0.0,0.07853683524261898,0,0,0,0,1,1,6,9,28,1,1,0.5121951219512195,3.5121951219512195,0.5,0.5909090909090909
ORD000034,2025-09-16,Enterprise,Economy,Books,601.2,Mumbai,Dubai,Temperature_Controlled,ReliableExpress,7.0,8.0,Slightly-Delayed,Perfect,3.0,791.94,Mumbai_to_Dubai,2232.95,267.03,0.0,0.0,,297.78,210.17,85.1,50.22,53.89,76.29,66.51,1.0,1.0,1.0,14.285714285714285,1.3150780471604118,0,1,0,0,1,0,1,9,16,0,0,0.525,3.575,1.0,0.2608695652173913
ORD000035,2025-09-15,Enterprise,Express,Healthcare,292.89,Pune,Delhi,,SpeedyLogistics,2.0,3.0,Slightly-Delayed,Perfect,3.0,602.9,Pune_to_Delhi,212.22,23.95,169.77,2.0,,184.29,152.82,72.1,51.16,35.98,63.7,37.98,1.0,1.0,1.0,50.0,2.051447820613155,0,0,0,1,0,0,0,9,15,0,0,0.5121951219512195,3.5121951219512195,1.0,0.5333333333333333
ORD000036,2025-10-17,SMB,Express,Industrial,496.59,Chennai,Hong Kong,Fragile,EcoDeliver,2.0,3.0,Slightly-Delayed,Perfect,3.0,518.38,Chennai_to_Hong Kong,3731.12,449.71,0.0,0.0,,201.45,176.03,59.54,31.88,36.58,46.46,43.35,1.0,1.0,1.0,50.0,1.0417813862818788,0,1,0,1,0,0,4,10,17,0,0,0.375,4.0,1.0,0.5652173913043478
ORD000037,2025-10-14,SMB,Express,Books,1269.5,Chennai,Dubai,,QuickShip,1.0,1.0,On-Time,Minor_Damage,4.0,253.27,Chennai_to_Dubai,2302.82,280.03,0.0,0.0,,96.9,80.36,35.77,17.69,14.64,27.74,17.23,0.0,0.0,0.0,0.0,0.19934671389216846,0,0,1,1,0,0,1,10,14,0,0,0.25806451612903225,4.096774193548387,0.5,0.2608695652173913
ORD000038,2025-09-03,Enterprise,Express,Books,410.02,Hyderabad,Singapore,,SpeedyLogistics,1.0,6.0,Severely-Delayed,Perfect,1.0,669.84,Hyderabad_to_Singapore,2338.79,284.08,0.0,0.0,,245.92,185.59,69.7,66.74,38.72,80.07,66.22,1.0,2.0,5.0,500.0,1.629701717677972,0,0,0,1,0,0,2,9,3,0,0,0.5121951219512195,3.5121951219512195,0.5,0.2608695652173913
ORD000039,2025-10-07,SMB,Express,Food & Beverage,1514.58,Bangalore,Dubai,Hazmat,GlobalTransit,2.0,3.0,Slightly-Delayed,Perfect,3.0,368.69,Bangalore_to_Dubai,3434.78,408.63,0.0,0.0,Light_Rain,139.87,116.48,47.52,34.4,23.77,36.39,29.85,1.0,1.0,1.0,50.0,0.24326660420433102,1,1,0,1,0,1,1,10,7,0,0,0.6363636363636364,3.090909090909091,0.5,0.36363636363636365
ORD000040,2025-09-07,Enterprise,Standard,Electronics,32.22,Kolkata,Hyderabad,,GlobalTransit,5.0,5.0,On-Time,Perfect,5.0,637.37,Kolkata_to_Hyderabad,1233.65,145.15,986.92,33.0,,217.42,186.59,74.26,49.85,58.98,56.13,61.65,0.0,0.0,0.0,0.0,19.186333534015652,0,0,0,0,0,0,6,9,7,1,0,0.6363636363636364,3.090909090909091,0.5,0.5909090909090909
ORD000041,2025-09-21,SMB,Express,Electronics,131.37,Bangalore,Bangkok,,ReliableExpress,1.0,2.0,Slightly-Delayed,Perfect,3.0,581.61,Bangalore_to_Bangkok,4410.45,533.55,0.0,0.0,,214.56,193.28,74.34,51.75,29.55,65.57,30.25,1.0,1.0,1.0,100.0,4.393820352043514,0,0,0,1,0,0,6,9,21,1,0,0.525,3.575,0.5714285714285714,0.5909090909090909
ORD000042,2025-09-09,Enterprise,Standard,Home Goods,16.31,Mumbai,Bangkok,Fragile,ReliableExpress,4.0,4.0,On-Time,Perfect,4.0,588.56,Mumbai_to_Bangkok,4718.33,564.41,0.0,0.0,,228.94,205.52,67.51,35.62,51.95,53.04,54.9,0.0,0.0,0.0,0.0,34.00115540150202,0,1,0,0,0,0,1,9,9,0,0,0.525,3.575,0.6,0.5555555555555556
ORD000043,2025-10-09,SMB,Economy,Home Goods,8066.8,Delhi,Bangalore,,QuickShip,10.0,12.0,Slightly-Delayed,Wrong_Item,1.0,1045.15,Delhi_to_Bangalore,484.25,59.51,387.4,52.0,,324.29,274.45,155.68,87.47,96.51,97.17,87.61,1.0,1.0,2.0,20.0,0.1295458489303156,0,0,1,0,1,1,3,10,9,0,0,0.25806451612903225,4.096774193548387,0.6666666666666666,0.5555555555555556
ORD000044,2025-09-18,SMB,Express,Home Goods,7910.83,Bangalore,Singapore,,SpeedyLogistics,1.0,1.0,On-Time,Perfect,5.0,150.84,Bangalore_to_Singapore,2643.88,316.43,0.0,0.0,Light_Rain,54.22,46.81,20.23,11.88,10.78,13.73,13.34,0.0,0.0,0.0,0.0,0.01906512147000125,1,0,0,1,0,1,3,9,18,0,0,0.5121951219512195,3.5121951219512195,0.0,0.5555555555555556
ORD000045,2025-09-04,Individual,Economy,Home Goods,1032.69,Kolkata,Pune,Hazmat,SpeedyLogistics,5.0,5.0,On-Time,Perfect,4.0,637.03,Kolkata_to_Pune,419.33,52.52,335.47,31.0,,205.52,203.36,71.14,51.77,55.65,56.54,33.76,0.0,0.0,0.0,0.0,0.616267933326239,0,1,0,0,1,0,3,9,4,0,0,0.5121951219512195,3.5121951219512195,0.5,0.5555555555555556
ORD000046,2025-09-25,Enterprise,Standard,Industrial,88.33,Mumbai,Singapore,,SpeedyLogistics,3.0,5.0,Slightly-Delayed,Perfect,3.0,681.84,Mumbai_to_Singapore,3757.59,452.16,0.0,0.0,,213.48,211.78,97.14,35.63,59.12,63.86,50.41,1.0,1.0,2.0,66.66666666666666,7.632822120228367,0,0,0,0,0,0,3,9,25,0,1,0.5121951219512195,3.5121951219512195,0.6,0.5652173913043478
ORD000047,2025-09-14,SMB,Express,Industrial,14542.31,Mumbai,Bangkok,Temperature_Controlled,QuickShip,1.0,1.0,On-Time,Perfect,4.0,166.22,Mumbai_to_Bangkok,4047.85,483.16,0.0,0.0,Light_Rain,65.31,47.07,20.49,8.42,8.99,15.02,8.54,0.0,0.0,0.0,0.0,0.011429310108909182,1,1,0,1,0,1,6,9,14,1,0,0.25806451612903225,4.096774193548387,0.6,0.5652173913043478
ORD000048,2025-10-20,Enterprise,Standard,Books,162.94,Delhi,Hyderabad,,EcoDeliver,3.0,3.0,On-Time,Perfect,5.0,598.64,Delhi_to_Hyderabad,1498.31,182.84,1198.65,21.0,,217.39,175.19,76.27,35.16,38.79,63.79,58.83,0.0,0.0,0.0,0.0,3.6515798462852262,0,0,0,0,0,0,0,10,20,0,0,0.375,4.0,0.0,0.2608695652173913
ORD000049,2025-09-09,Individual,Standard,Fashion,293.0,Delhi,Hong Kong,,GlobalTransit,5.0,5.0,On-Time,Major_Damage,3.0,452.68,Delhi_to_Hong Kong,2359.86,287.35,0.0,0.0,Light_Rain,138.09,153.48,58.33,35.4,33.96,37.47,24.67,0.0,0.0,0.0,0.0,1.5397278911564627,1,0,1,0,0,0,1,9,9,0,0,0.6363636363636364,3.090909090909091,0.0,0.4444444444444444
ORD000050,2025-09-26,Individual,Economy,Food & Beverage,512.5,Kolkata,Delhi,,SpeedyLogistics,5.0,5.0,On-Time,Wrong_Item,4.0,616.12,Kolkata_to_Delhi,782.46,90.48,625.97,33.0,,221.86,175.04,89.87,43.33,35.22,66.9,39.84,0.0,0.0,0.0,0.0,1.199844206426485,0,0,1,0,1,0,4,9,26,0,1,0.5121951219512195,3.5121951219512195,0.3333333333333333,0.36363636363636365
ORD000051,2025-09-02,Enterprise,Economy,Food & Beverage,794.15,Delhi,Pune,,QuickShip,10.0,10.0,On-Time,Perfect,5.0,920.14,Delhi_to_Pune,1170.25,135.97,936.2,75.0,,324.39,294.25,133.43,82.45,77.12,98.63,89.53,0.0,0.0,0.0,0.0,1.1571904672074451,0,0,0,0,1,0,1,9,2,0,0,0.25806451612903225,4.096774193548387,0.6666666666666666,0.36363636363636365
ORD000052,2025-09-20,SMB,Economy,Home Goods,1059.66,Chennai,Hyderabad,Temperature_Controlled,ReliableExpress,7.0,8.0,Slightly-Delayed,Perfect,3.0,765.07,Chennai_to_Hyderabad,274.67,29.85,219.74,92.0,,252.15,191.35,86.91,46.59,63.57,80.6,60.96,1.0,1.0,1.0,14.285714285714285,0.7213150302641751,0,1,0,0,1,0,5,9,20,1,0,0.525,3.575,0.6666666666666666,0.5555555555555556
ORD000053,2025-09-28,Individual,Standard,Books,1125.45,Bangalore,Hyderabad,Temperature_Controlled,ReliableExpress,3.0,3.0,On-Time,Perfect,5.0,286.91,Bangalore_to_Hyderabad,569.49,70.41,455.59,86.0,,86.54,92.64,33.33,23.89,22.33,26.89,16.28,0.0,0.0,0.0,0.0,0.25470282746682055,0,1,0,0,0,0,6,9,28,1,1,0.525,3.575,0.0,0.2608695652173913
ORD000054,2025-10-17,SMB,Express,Healthcare,324.8,Bangalore,Mumbai,,EcoDeliver,2.0,3.0,Slightly-Delayed,Perfect,3.0,488.53,Bangalore_to_Mumbai,893.85,105.67,715.08,43.0,Light_Rain,151.17,162.75,71.29,40.3,26.95,46.94,42.23,1.0,1.0,1.0,50.0,1.499478207489257,1,0,0,1,0,0,4,10,17,0,0,0.375,4.0,0.5,0.5333333333333333
ORD000055,2025-09-07,SMB,Economy,Fashion,1099.0,Hyderabad,Delhi,Fragile,GlobalTransit,7.0,12.0,Severely-Delayed,Perfect,3.0,919.83,Hyderabad_to_Delhi,637.66,72.54,510.13,64.0,,347.68,240.83,91.98,78.74,62.39,82.95,46.58,1.0,2.0,5.0,71.42857142857143,0.8362090909090909,0,1,0,0,1,0,6,9,7,1,0,0.6363636363636364,3.090909090909091,1.0,0.4444444444444444
ORD000056,2025-10-14,Enterprise,Economy,Books,303.74,Delhi,Singapore,,SpeedyLogistics,7.0,7.0,On-Time,Perfect,5.0,810.13,Delhi_to_Singapore,3694.95,447.06,0.0,0.0,,286.81,271.49,119.8,63.42,61.35,67.57,62.74,0.0,0.0,0.0,0.0,2.6584301371661088,0,0,0,0,1,0,1,10,14,0,0,0.5121951219512195,3.5121951219512195,0.0,0.2608695652173913
ORD000057,2025-09-08,Enterprise,Economy,Fashion,961.94,Kolkata,Bangalore,,EcoDeliver,10.0,10.0,On-Time,Perfect,5.0,761.7,Kolkata_to_Bangalore,1642.24,201.5,1313.79,82.0,Heavy_Rain,257.45,236.67,90.97,47.24,41.7,70.53,41.77,0.0,0.0,0.0,0.0,0.7910150165119322,1,0,0,0,1,0,0,9,8,0,0,0.375,4.0,0.0,0.4444444444444444
ORD000058,2025-10-17,Individual,Standard,Fashion,850.6,Delhi,Hong Kong,,ReliableExpress,4.0,4.0,On-Time,Incomplete,3.0,428.43,Delhi_to_Hong Kong,3131.95,380.48,0.0,0.0,,136.11,149.41,52.36,32.81,40.14,51.34,33.9,0.0,0.0,0.0,0.0,0.503088304368248,0,0,1,0,0,0,4,10,17,0,0,0.525,3.575,0.0,0.4444444444444444
ORD000059,2025-10-05,Individual,Standard,Fashion,1266.83,Delhi,Chennai,,GlobalTransit,3.0,7.0,Severely-Delayed,Perfect,1.0,749.94,Delhi_to_Chennai,1267.93,152.09,1014.35,32.0,Heavy_Rain,285.91,212.0,86.46,52.6,62.71,80.46,49.32,1.0,2.0,4.0,133.33333333333331,0.5915146352428954,1,0,0,0,0,0,6,10,5,1,0,0.6363636363636364,3.090909090909091,0.5,0.4444444444444444
ORD000060,2025-09-14,SMB,Economy,Books,1050.42,Pune,Singapore,,ReliableExpress,5.0,5.0,On-Time,Perfect,5.0,515.07,Pune_to_Singapore,4532.75,545.69,0.0,0.0,,161.38,161.34,54.81,40.65,43.61,55.64,45.16,0.0,0.0,0.0,0.0,0.4898803522854806,0,0,0,0,1,0,6,9,14,1,0,0.525,3.575,0.0,0.2608695652173913
